Index Name,Currency,TickerType,Availability,RussellTick,Bloomberg,ReutersRIC
Russell 1000� Equal Weight Energy Index,USD,Total,Real Time,R1EWETR,R1EWETR,.R1EWETR
Russell 1000� Equal Weight Energy Index,USD,Price,End of day,R1EWENG,,.R1EWENG
Russell 1000� Equal Weight Financial Services Index,USD,Total,Real Time,R1EWFSTR,R1EWFSTR,.R1EWFSTR
Russell 1000� Equal Weight Financial Services Index,USD,Price,End of day,R1EWFS,,.R1EWFS
Russell 1000� Equal Weight Health Care Index,USD,Total,Real Time,R1EWHCTR,R1EWHCTR,.R1EWHCTR
Russell 1000� Equal Weight Health Care Index,USD,Price,End of day,R1EWHC,,.R1EWHC
Russell 1000� Equal Weight Materials & Processing Index,USD,Total,Real Time,R1EWMPTR,R1EWMPTR,.R1EWMPTR
Russell 1000� Equal Weight Materials & Processing Index,USD,Price,End of day,R1EWMP,,.R1EWMP
Russell 1000� Equal Weight Producer Durables Index,USD,Total,Real Time, R1EWPDTR, R1EWPDTR,.R1EWPDTR
Russell 1000� Equal Weight Producer Durables Index,USD,Price,End of day,R1EWPD,,.R1EWPD
Russell 1000� Equal Weight Technology Index,USD,Total,Real Time,R1EWTTR,R1EWTTR,.R1EWTTR
Russell 1000� Equal Weight Technology Index,USD,Price,End of day,R1EWTEC,,.R1EWTEC
Russell 1000� Equal Weight Utilities Index,USD,Total,Real Time,R1EWUTR,R1EWUTR,.R1EWUTR
Russell 1000� Equal Weight Utilities Index,USD,Price,End of day,R1EWUTIL,,.R1EWUTIL
Russell 1000� Pure Growth Price,USD,Price,Real Time,R1KPGROP,R1KPGROP,.R1KPGROP
Russell 1000� Pure Growth Total,USD,Total,End of day,R1KPGROT,R1KPGROT,.R1KPGROT
Russell 1000� Pure Value Price,USD,Price,Real Time,R1KPVALP,R1KPVALP,.R1KPVALP
Russell 1000� Pure Value Total,USD,Total,End of day,R1KPVALT,R1KPVALT,.R1KPVALT
Russell 2000,USD,Price,Real Time,RUT,RTY,.RUT
Russell 2000 - RGS Sub - Alternative Energy,USD,Price,End of day,RUTALTEN,,.RUTALTEN
Russell 2000 - RGS Sub - Auto & Auto Parts,USD,Price,End of day,RUTAUP,,.RUTAUP
Russell 2000 - RGS Sub - Banks,USD,Price,End of day,RUTBK,,.RUTBK
Russell 2000 - RGS Sub - Building Materials & Services,USD,Price,End of day,RUTBMS,,.RUTBMS
Russell 2000 - RGS Sub - Chemicals and Synthetics,USD,Price,End of day,RUTCHEM,,.RUTCHEM
Russell 2000 - RGS Sub - Commercial Services,USD,Price,End of day,RUTCOMMS,,.RUTCOMMS
Russell 2000 - RGS Sub - Consumer Finance & Credit Services,USD,Price,End of day,RUTCOMFI,,.RUTCOMFI
Russell 2000 - RGS Sub - Consumer Products,USD,Price,End of day,RUTCOMPR,,.RUTCOMPR
Russell 2000 - RGS Sub - Consumer Services,USD,Price,End of day,RUTCOMS,,.RUTCOMS
Russell 2000 - RGS Sub - Electronics,USD,Price,End of day,RUTELE,,.RUTELE
Russell 2000 - RGS Sub - Energy Equipment & Services,USD,Price,End of day,RUTENEQS,,.RUTENEQS
Russell 2000 - RGS Sub - Food Beverage & Tobacco,USD,Price,End of day,RUTFBTO,,.RUTFBTO
Russell 2000 - RGS Sub - Health Care Services,USD,Price,End of day,RUTHCS,,.RUTHCS
Russell 2000 - RGS Sub - Industrial Materials & Processes,USD,Price,End of day,RUTINMP,,.RUTINMP
Russell 2000 - RGS Sub - Information Technology,USD,Price,End of day,RUTINFTEC,,.RUTINFTEC
Russell 2000 - RGS Sub - Insurance,USD,Price,End of day,RUTINS,,.RUTINS
Russell 2000 - RGS Sub - Investment Banking & Brokerage Services,USD,Price,End of day,RUTINBKBR,,.RUTINBKBR
Russell 2000 - RGS Sub - Leisure,USD,Price,End of day,RUTLEIS,,.RUTLEIS
Russell 2000 - RGS Sub - Machinery,USD,Price,End of day,RUTMACH,,.RUTMACH
Russell 2000 - RGS Sub - Manufacturing & Production,USD,Price,End of day,RUTMANPR,,.RUTMANPR
